input,init_output,learned_output
8.798799,8.8445015,8.8445015
8.813813,8.857801,8.857801
8.828829,8.870729,8.870729
8.843843,8.883306,8.883306
8.858859,8.895554,8.895554
8.873874,8.907497,8.907497
8.888888,8.9191675,8.9191675
8.903904,8.930592,8.930592
8.918919,8.9418,8.9418
8.933934,8.952826,8.952826
8.948949,8.963699,8.963699
8.9639635,8.974457,8.974457
8.978979,8.98513,8.98513
8.993994,8.995756,8.995756
9.009008,9.006367,9.006367
9.024024,9.016999,9.016999
9.039039,9.027687,9.027687
9.054054,9.0384655,9.0384655
9.069069,9.049366,9.049366
9.084084,9.060425,9.060425
9.099099,9.071674,9.071674
9.114114,9.083145,9.083145
9.129129,9.094869,9.094869
9.144144,9.106872,9.106872
9.159159,9.119183,9.119183
9.174174,9.131827,9.131827
9.189189,9.144827,9.144827
9.204204,9.158204,9.158204
9.219219,9.171976,9.171976
9.234234,9.186158,9.186158
9.249249,9.200762,9.200762
9.264264,9.215795,9.215795
9.279279,9.231261,9.231261
9.294294,9.247164,9.247164
9.309309,9.263497,9.263497
9.324325,9.280255,9.280255
9.339339,9.297424,9.297424
9.354354,9.314988,9.314988
9.3693695,9.332928,9.332928
9.384384,9.351215,9.351215
9.399399,9.369825,9.369825
9.414414,9.388723,9.388723
9.429429,9.407872,9.407872
9.444445,9.427235,9.427235
9.459459,9.446766,9.446766
9.474474,9.466423,9.466423
9.48949,9.486161,9.486161
9.504504,9.505932,9.505932
9.51952,9.525689,9.525689
9.534534,9.545383,9.545383
9.549549,9.564971,9.564971
9.564565,9.584406,9.584406
9.579579,9.603645,9.603645
9.594594,9.622646,9.622646
9.60961,9.6413765,9.6413765
9.624624,9.659797,9.659797
9.63964,9.67788,9.67788
9.6546545,9.695597,9.695597
9.669669,9.712925,9.712925
9.684685,9.72985,9.72985
9.699699,9.746353,9.746353
9.714715,9.76243,9.76243
9.72973,9.77807,9.77807
9.744744,9.793277,9.793277
9.75976,9.808052,9.808052
9.774775,9.8224,9.8224
9.789789,9.836334,9.836334
9.804805,9.849868,9.849868
9.819819,9.863016,9.863016
9.834835,9.875801,9.875801
9.84985,9.888243,9.888243
9.864864,9.900366,9.900366
9.87988,9.912197,9.912197
9.894895,9.923765,9.923765
9.90991,9.935099,9.935099
9.924925,9.94623,9.94623
9.9399395,9.957191,9.957191
9.954955,9.968015,9.968015
9.96997,9.978734,9.978734
9.984984,9.989384,9.989384
10.0,10.0,10.0
10.015015,10.010614,10.010614
10.03003,10.021266,10.021266
10.045045,10.031985,10.031985
10.06006,10.042809,10.042809
10.075075,10.053769,10.053769
10.09009,10.0649,10.0649
10.105105,10.076235,10.076235
10.12012,10.087803,10.087803
10.135135,10.099634,10.099634
10.15015,10.111757,10.111757
10.165165,10.124198,10.124198
10.18018,10.136983,10.136983
10.195195,10.150132,10.150132
10.21021,10.163665,10.163665
10.225225,10.1776,10.1776
10.24024,10.191948,10.191948
10.255255,10.206722,10.206722
10.27027,10.22193,10.22193
10.285285,10.23757,10.23757
10.300301,10.253646,10.253646
10.315315,10.27015,10.27015
10.33033,10.287073,10.287073
10.3453455,10.304403,10.304403
10.36036,10.32212,10.32212
10.375375,10.340202,10.340202
10.39039,10.3586235,10.3586235
10.405405,10.377352,10.377352
10.420421,10.396355,10.396355
10.435435,10.415593,10.415593
10.45045,10.435028,10.435028
10.465466,10.454617,10.454617
10.48048,10.474311,10.474311
10.495496,10.494068,10.494068
10.51051,10.513839,10.513839
10.525525,10.533576,10.533576
10.540541,10.553234,10.553234
10.555555,10.572765,10.572765
10.57057,10.592127,10.592127
10.585586,10.611277,10.611277
10.6006,10.630174,10.630174
10.615616,10.648785,10.648785
10.6306305,10.667072,10.667072
10.645645,10.685011,10.685011
10.660661,10.702576,10.702576
10.675675,10.719746,10.719746
10.690691,10.736503,10.736503
10.705706,10.752836,10.752836
10.72072,10.768738,10.768738
10.735736,10.784205,10.784205
10.750751,10.799238,10.799238
10.765765,10.813841,10.813841
10.780781,10.828023,10.828023
10.795795,10.841795,10.841795
10.810811,10.855173,10.855173
10.825826,10.868174,10.868174
10.84084,10.880817,10.880817
10.855856,10.893128,10.893128
10.870871,10.905131,10.905131
10.885886,10.916855,10.916855
10.900901,10.928326,10.928326
10.9159155,10.939573,10.939573
10.930931,10.950634,10.950634
10.945946,10.961535,10.961535
10.96096,10.972313,10.972313
10.975976,10.983001,10.983001
10.990991,10.993633,10.993633
11.006006,11.004244,11.004244
11.021021,11.014869,11.014869
11.036036,11.025543,11.025543
11.051051,11.036301,11.036301
11.066066,11.047174,11.047174
11.081081,11.0582,11.0582
11.096096,11.069408,11.069408
11.111111,11.080832,11.080832
11.126126,11.092503,11.092503
11.141141,11.104446,11.104446
11.156157,11.116694,11.116694
11.171171,11.129271,11.129271
11.186186,11.142197,11.142197
11.201201,11.1554985,11.1554985
11.216216,11.169189,11.169189
11.231231,11.183288,11.183288
11.246246,11.197807,11.197807
11.261261,11.212753,11.212753
11.276277,11.228134,11.228134
11.291291,11.243949,11.243949
11.306306,11.260197,11.260197
11.3213215,11.276871,11.276871
11.336336,11.293959,11.293959
11.351352,11.311445,11.311445
11.366366,11.329311,11.329311
11.381381,11.347531,11.347531
11.396397,11.36608,11.36608
11.411411,11.384922,11.384922
11.426426,11.404023,11.404023
11.441442,11.4233465,11.4233465
11.456456,11.442848,11.442848
11.471472,11.462484,11.462484
11.486486,11.482209,11.482209
11.501501,11.501977,11.501977
11.516517,11.521742,11.521742
11.531531,11.541451,11.541451
11.546547,11.561066,11.561066
11.561562,11.580534,11.580534
11.576576,11.599814,11.599814
11.591592,11.618868,11.618868
11.6066065,11.637655,11.637655
11.621621,11.656139,11.656139
11.636637,11.674292,11.674292
11.651651,11.692083,11.692083
11.666667,11.709492,11.709492
11.681682,11.726498,11.726498
11.696696,11.743086,11.743086
11.711712,11.759249,11.759249
11.726727,11.774977,11.774977
11.741742,11.790271,11.790271
11.756757,11.80513,11.80513
11.771771,11.819564,11.819564
11.786787,11.83358,11.83358
11.801802,11.847193,11.847193
11.816816,11.860416,11.860416
11.831832,11.873272,11.873272
11.846847,11.88578,11.88578
11.861862,11.897965,11.897965
11.876877,11.909853,11.909853
11.8918915,11.921471,11.921471
11.906907,11.93285,11.93285
