input,init_output,learned_output
5.1501503,5.1117578,5.1116056
5.1651654,5.124199,5.124059
5.18018,5.136983,5.136854
5.195195,5.1501317,5.1500134
5.2102103,5.1636653,5.1635575
5.2252254,5.1776,5.177502
5.2402406,5.191949,5.1918607
5.255255,5.2067227,5.206644
5.2702703,5.2219296,5.22186
5.2852855,5.237571,5.23751
5.3003006,5.2536464,5.2535944
5.3153152,5.27015,5.2701073
5.3303304,5.287074,5.2870398
5.3453455,5.3044033,5.304378
5.3603606,5.3221207,5.322104
5.3753753,5.3402023,5.3401947
5.3903904,5.358623,5.3586254
5.4054055,5.3773527,5.3773637
5.4204206,5.396355,5.3963766
5.435436,5.415594,5.415626
5.4504504,5.4350286,5.435071
5.4654655,5.454616,5.45467
5.4804807,5.474312,5.474377
5.495496,5.4940686,5.4941463
5.5105104,5.513839,5.513931
5.5255256,5.533577,5.533683
5.5405407,5.553235,5.553355
5.555556,5.572767,5.5729027
5.5705705,5.592128,5.592281
5.5855856,5.6112766,5.611448
5.6006007,5.6301746,5.6303644
5.615616,5.648784,5.6489944
5.630631,5.667073,5.667305
5.6456456,5.6850114,5.6852665
5.6606607,5.7025757,5.7028556
5.675676,5.7197456,5.720051
5.690691,5.7365026,5.7368364
5.7057056,5.752836,5.7531996
5.720721,5.768738,5.7691336
5.735736,5.7842054,5.7846346
5.750751,5.799238,5.799704
5.765766,5.813842,5.814346
5.780781,5.8280234,5.8285685
5.795796,5.8417954,5.8423843
5.810811,5.855173,5.8558083
5.825826,5.868173,5.8688583
5.840841,5.8808174,5.881555
5.855856,5.8931284,5.893923
5.870871,5.905132,5.9059854
5.885886,5.916855,5.917771
5.900901,5.928325,5.929309
5.915916,5.9395742,5.9406295
5.930931,5.9506335,5.951764
5.945946,5.961536,5.962746
5.9609613,5.9723134,5.973608
5.975976,5.9830008,5.9843845
5.990991,5.993633,5.9951105
6.0060062,6.0042443,6.0058203
6.0210214,6.0148697,6.01655
6.036036,6.0255427,6.0273314
6.051051,6.0363,6.038203
6.0660663,6.0471754,6.0491962
6.0810814,6.0582,6.0603447
6.096096,6.0694084,6.071682
6.111111,6.0808325,6.0832396
6.1261263,6.0925026,6.095048
6.1411414,6.1044474,6.107135
6.1561565,6.116695,6.1195292
6.171171,6.1292706,6.1322546
6.1861863,6.1421976,6.1453342
6.2012014,6.1554985,6.15879
6.2162166,6.16919,6.172639
6.231231,6.1832886,6.1868954
6.2462463,6.1978073,6.2015715
6.2612615,6.212754,6.216675
6.2762766,6.228134,6.23221
6.291291,6.243949,6.2481775
6.3063064,6.2601967,6.264574
6.3213215,6.2768707,6.28139
6.3363366,6.293958,6.2986164
6.3513517,6.311445,6.3162327
6.3663664,6.329311,6.3342185
6.3813815,6.3475323,6.3525505
6.3963966,6.36608,6.3711987
6.411412,6.384923,6.39013
6.4264264,6.404024,6.4093065
6.4414415,6.4233465,6.428691
6.4564567,6.442848,6.4482393
6.471472,6.4624844,6.467908
6.4864864,6.482209,6.4876494
6.5015016,6.5019774,6.507419
6.5165167,6.521741,6.5271683
6.531532,6.5414524,6.5468493
6.546547,6.561065,6.566417
6.5615616,6.580534,6.585826
6.5765767,6.5998154,6.605034
6.591592,6.6188684,6.623999
6.606607,6.637655,6.642686
6.6216216,6.65614,6.6610584
6.6366367,6.674292,6.679088
6.651652,6.692084,6.6967483
6.666667,6.709492,6.7140164
6.6816816,6.726498,6.730875
6.6966968,6.743087,6.74731
6.711712,6.7592487,6.7633133
6.726727,6.7749777,6.778879
6.741742,6.790271,6.7940073
6.756757,6.805131,6.8087006
6.771772,6.8195643,6.8229656
6.786787,6.833581,6.836814
6.801802,6.847193,6.850259
6.816817,6.860417,6.8633165
6.831832,6.873273,6.876008
6.846847,6.885781,6.8883543
6.861862,6.8979654,6.90038
6.876877,6.909853,6.9121118
6.891892,6.921471,6.923578
6.906907,6.93285,6.9348083
6.921922,6.9440193,6.945833
6.9369373,6.955012,6.9566846
6.951952,6.9658594,6.967395
6.966967,6.976598,6.9779997
6.981982,6.987259,6.9885325
6.9969974,6.997878,6.9990263
7.012012,7.0084906,7.0095167
7.027027,7.019131,7.0200396
7.0420423,7.0298343,7.030628
7.0570574,7.040634,7.0413165
7.072072,7.0515647,7.0521383
7.087087,7.0626593,7.063128
7.1021023,7.073951,7.0743165
7.1171174,7.0854692,7.085736
7.1321325,7.0972457,7.097415
7.147147,7.1093082,7.1093826
7.1621623,7.121684,7.1216655
7.1771774,7.134398,7.1342893
7.1921926,7.1474724,7.1472754
7.207207,7.1609273,7.160644
7.2222223,7.17478,7.1744137
7.2372375,7.189045,7.188597
7.2522526,7.203734,7.2032065
7.267267,7.2188535,7.2182484
7.2822824,7.2344074,7.2337284
7.2972975,7.2503963,7.2496448
7.3123126,7.2668157,7.2659945
7.3273277,7.283657,7.2827682
7.3423424,7.300906,7.2999535
7.3573575,7.3185472,7.3175335
7.3723726,7.336558,7.3354864
7.3873878,7.3549137,7.3537874
7.4024024,7.373584,7.372406
7.4174175,7.392534,7.3913097
7.4324327,7.4117293,7.4104605
7.447448,7.4311285,7.429819
7.4624624,7.4506884,7.449343
7.4774776,7.4703665,7.468988
7.4924927,7.490114,7.488707
7.5075073,7.509886,7.508454
7.5225224,7.5296345,7.52818
7.5375376,7.5493116,7.5478387
7.552552,7.5688715,7.5673833
7.5675673,7.588271,7.58677
7.5825825,7.6074657,7.605955
7.5975976,7.6264167,7.6248984
7.6126122,7.6450863,7.643562
7.6276274,7.6634417,7.6619124
7.6426425,7.6814528,7.67992
7.6576576,7.6990943,7.697559
7.6726723,7.7163434,7.7148046
7.6876874,7.733184,7.7316427
7.7027025,7.7496033,7.748058
7.7177176,7.7655926,7.764042
7.732733,7.7811465,7.7795887
7.7477474,7.7962656,7.7946987
7.7627625,7.810955,7.8093753
7.7777777,7.82522,7.823625
7.792793,7.8390727,7.8374596
7.8078074,7.8525276,7.850891
7.8228226,7.865602,7.863938
7.8378377,7.8783164,7.8766203
7.852853,7.8906918,7.8889585
7.8678675,7.9027543,7.9009776
7.8828826,7.9145308,7.9127054
7.8978977,7.9260497,7.9241695
7.912913,7.9373407,7.9353986
7.927928,7.948436,7.946425
7.9429426,7.959366,7.9572797
7.9579577,7.9701653,7.9679966
7.972973,7.9808683,7.9786096
7.987988,7.9915094,7.989152
8.003003,8.002122,7.999658
8.018018,8.012741,8.010163
8.033032,8.023402,8.020702
8.048048,8.034141,8.031309
8.063063,8.044989,8.04202
8.078078,8.055982,8.052866
8.093093,8.06715,8.06388
8.108108,8.078528,8.075096
8.123123,8.090147,8.086546
8.138138,8.102035,8.098256
8.153153,8.11422,8.110258
8.168168,8.126728,8.122577
8.183183,8.139583,8.135237
8.198198,8.152807,8.148263
8.213213,8.166419,8.161673
8.228228,8.180435,8.175484
8.243243,8.194869,8.189711
8.258258,8.209729,8.204363
8.273273,8.225023,8.219451
8.288288,8.240751,8.234976
8.303303,8.256912,8.2509365
8.318318,8.273502,8.267332
8.333333,8.290508,8.284151
8.348349,8.307917,8.301382
8.363363,8.325708,8.319005
8.378378,8.34386,8.337001
8.3933935,8.362346,8.355345
8.408408,8.381132,8.374002
8.423423,8.400185,8.392944
8.438438,8.419466,8.412133
8.453453,8.438934,8.431526
8.468469,8.458549,8.451084
8.483483,8.478258,8.47076
8.498498,8.498022,8.490509
8.513514,8.517791,8.510283
8.528528,8.537516,8.530036
8.543544,8.557153,8.54972
8.558558,8.5766535,8.569288
8.573573,8.595975,8.5886965
8.588589,8.615078,8.607904
8.603603,8.633921,8.626868
8.618618,8.652468,8.645554
8.633634,8.670689,8.663928
8.648648,8.688555,8.681959
8.663664,8.706041,8.699625
8.6786785,8.723129,8.7169
8.693693,8.739802,8.733768
8.708709,8.75605,8.750219
8.723723,8.771866,8.766241
8.738739,8.787247,8.781834
8.753754,8.802193,8.796993
8.768768,8.816711,8.811726
8.783784,8.830811,8.82604
8.798799,8.8445015,8.839943
8.813813,8.857801,8.853454
8.828829,8.870729,8.866589
8.843843,8.883306,8.879366
8.858859,8.895554,8.89181
8.873874,8.907497,8.903948
8.888888,8.9191675,8.915802
8.903904,8.930592,8.927405
8.918919,8.9418,8.938786
8.933934,8.952826,8.949976
8.948949,8.963699,8.961009
8.9639635,8.974457,8.971916
8.978979,8.98513,8.982735
