input,init_output,learned_output
3.7387388,3.7872467,3.787261
3.753754,3.8021932,3.8022056
3.7687688,3.8167114,3.8167207
3.783784,3.8308103,3.8308172
3.7987988,3.844502,3.8445063
3.813814,3.8578024,3.8578038
3.8288288,3.8707297,3.8707285
3.843844,3.8833055,3.8833015
3.858859,3.895553,3.8955462
3.873874,3.907498,3.9074874
3.888889,3.919168,3.9191546
3.903904,3.9305916,3.930575
3.918919,3.9418004,3.9417803
3.933934,3.9528255,3.952802
3.948949,3.9636998,3.9636729
3.963964,3.974457,3.9744258
3.978979,3.9851308,3.985096
3.993994,3.995756,3.9957168
4.009009,4.006367,4.0063243
4.024024,4.0169992,4.016952
4.039039,4.0276866,4.0276356
4.0540543,4.038465,4.0384088
4.0690694,4.0493665,4.0493064
4.084084,4.0604258,4.06036
4.099099,4.0716753,4.0716047
4.1141143,4.083146,4.0830703
4.1291294,4.0948687,4.094788
4.144144,4.106871,4.106786
4.159159,4.1191826,4.119091
4.1741743,4.131827,4.13173
4.1891894,4.144828,4.1447253
4.204204,4.1582046,4.1580963
4.219219,4.171977,4.171863
4.2342343,4.1861587,4.186039
4.2492495,4.200762,4.200637
4.2642646,4.215795,4.2156644
4.279279,4.231262,4.231126
4.2942944,4.2471642,4.2470226
4.3093095,4.263498,4.263351
4.3243246,4.2802553,4.280103
4.3393393,4.297424,4.297267
4.3543544,4.314988,4.314827
4.3693695,4.3329277,4.332762
4.3843846,4.3512163,4.3510466
4.3993993,4.369826,4.369652
4.4144144,4.388723,4.3885465
4.4294295,4.407872,4.407693
4.4444447,4.427234,4.4270525
4.45946,4.4467664,4.446583
4.4744744,4.466423,4.466239
4.4894896,4.486161,4.4859757
4.5045047,4.5059323,4.505747
4.51952,4.525689,4.525504
4.5345345,4.545384,4.5451994
4.5495496,4.5649714,4.5647883
4.5645647,4.5844064,4.584225
4.57958,4.6036453,4.603467
4.5945945,4.622648,4.622472
4.6096096,4.641377,4.641204
4.6246247,4.6597977,4.6596284
4.63964,4.67788,4.677715
4.654655,4.695597,4.695436
4.6696696,4.712926,4.7127695
4.6846848,4.72985,4.729698
4.6997,4.7463536,4.746207
4.714715,4.7624297,4.762288
4.7297297,4.7780704,4.777934
4.744745,4.7932773,4.793146
4.75976,4.8080516,4.807926
4.774775,4.8224006,4.822281
4.7897897,4.8363347,4.83622
4.804805,4.849868,4.849758
4.81982,4.863017,4.862912
4.834835,4.875801,4.875702
4.84985,4.8882427,4.8881483
4.864865,4.900366,4.900276
4.87988,4.912197,4.9121127
4.894895,4.923765,4.923685
4.90991,4.9350996,4.935024
4.924925,4.9462304,4.946159
4.93994,4.9571915,4.9571238
4.954955,4.9680147,4.9679513
4.96997,4.9787345,4.978675
4.984985,4.9893847,4.9893284
5.0,5.0,4.999947
5.015015,5.0106153,5.0105658
5.0300303,5.021266,5.0212193
5.0450454,5.0319853,5.031942
5.06006,5.0428085,5.042768
5.075075,5.0537696,5.053731
5.0900903,5.064901,5.064865
5.1051054,5.0762353,5.0762014
5.12012,5.087803,5.0877714
5.135135,5.099634,5.099605
5.1501503,5.1117578,5.11173
5.1651654,5.124199,5.1241736
5.18018,5.136983,5.136959
5.195195,5.1501317,5.1501093
5.2102103,5.1636653,5.1636443
5.2252254,5.1776,5.1775804
5.2402406,5.191949,5.191931
5.255255,5.2067227,5.206706
5.2702703,5.2219296,5.2219143
5.2852855,5.237571,5.2375565
5.3003006,5.2536464,5.2536335
5.3153152,5.27015,5.2701383
5.3303304,5.287074,5.2870626
5.3453455,5.3044033,5.3043933
5.3603606,5.3221207,5.3221116
5.3753753,5.3402023,5.340194
5.3903904,5.358623,5.358616
5.4054055,5.3773527,5.3773465
5.4204206,5.396355,5.3963504
5.435436,5.415594,5.4155903
5.4504504,5.4350286,5.435026
5.4654655,5.454616,5.4546146
5.4804807,5.474312,5.474311
5.495496,5.4940686,5.494069
5.5105104,5.513839,5.5138407
5.5255256,5.533577,5.5335803
5.5405407,5.553235,5.5532393
5.555556,5.572767,5.5727725
5.5705705,5.592128,5.592135
5.5855856,5.6112766,5.611286
5.6006007,5.6301746,5.630185
5.615616,5.648784,5.648796
5.630631,5.667073,5.667087
5.6456456,5.6850114,5.6850276
5.6606607,5.7025757,5.7025943
5.675676,5.7197456,5.7197657
5.690691,5.7365026,5.7365255
5.7057056,5.752836,5.752861
5.720721,5.768738,5.7687654
5.735736,5.7842054,5.784236
5.750751,5.799238,5.7992716
5.765766,5.813842,5.8138785
5.780781,5.8280234,5.828063
5.795796,5.8417954,5.841839
5.810811,5.855173,5.85522
5.825826,5.868173,5.868224
5.840841,5.8808174,5.8808727
5.855856,5.8931284,5.8931885
5.870871,5.905132,5.905196
5.885886,5.916855,5.9169245
5.900901,5.928325,5.9284
5.915916,5.9395742,5.9396544
5.930931,5.9506335,5.95072
5.945946,5.961536,5.961628
5.9609613,5.9723134,5.9724126
5.975976,5.9830008,5.983107
5.990991,5.993633,5.9937463
6.0060062,6.0042443,6.004365
6.0210214,6.0148697,6.014999
6.036036,6.0255427,6.0256805
6.051051,6.0363,6.036447
6.0660663,6.0471754,6.047331
6.0810814,6.0582,6.058366
6.096096,6.0694084,6.069584
6.111111,6.0808325,6.0810184
6.1261263,6.0925026,6.092699
6.1411414,6.1044474,6.1046553
6.1561565,6.116695,6.1169143
6.171171,6.1292706,6.129501
6.1861863,6.1421976,6.142441
6.2012014,6.1554985,6.155753
6.2162166,6.16919,6.169457
6.231231,6.1832886,6.1835675
6.2462463,6.1978073,6.1980987
6.2612615,6.212754,6.2130575
6.2762766,6.228134,6.22845
